id,category,branch,comprehension_intention_0_10,pertinence_0_10,qualite_clarifications_0_10,respect_informations_0_10,gestion_inconnues_0_10,hypotheses_non_justifiees_0_10,structure_0_10,actionnabilite_0_10,profondeur_adaptee_0_10,valeur_ajoutee_reelle_0_10,commentaire,score_comparatif_moins3_plus3
F01,floue,Réponse A,,,,,,,,,,,,
F01,floue,Réponse B,,,,,,,,,,,,
F02,floue,Réponse A,,,,,,,,,,,,
F02,floue,Réponse B,,,,,,,,,,,,
F03,floue,Réponse A,,,,,,,,,,,,
F03,floue,Réponse B,,,,,,,,,,,,
F04,floue,Réponse A,,,,,,,,,,,,
F04,floue,Réponse B,,,,,,,,,,,,
F05,floue,Réponse A,,,,,,,,,,,,
F05,floue,Réponse B,,,,,,,,,,,,
F06,floue,Réponse A,,,,,,,,,,,,
F06,floue,Réponse B,,,,,,,,,,,,
F07,floue,Réponse A,,,,,,,,,,,,
F07,floue,Réponse B,,,,,,,,,,,,
F08,floue,Réponse A,,,,,,,,,,,,
F08,floue,Réponse B,,,,,,,,,,,,
F09,floue,Réponse A,,,,,,,,,,,,
F09,floue,Réponse B,,,,,,,,,,,,
F10,floue,Réponse A,,,,,,,,,,,,
F10,floue,Réponse B,,,,,,,,,,,,
S01,simple,Réponse A,,,,,,,,,,,,
S01,simple,Réponse B,,,,,,,,,,,,
S02,simple,Réponse A,,,,,,,,,,,,
S02,simple,Réponse B,,,,,,,,,,,,
S03,simple,Réponse A,,,,,,,,,,,,
S03,simple,Réponse B,,,,,,,,,,,,
S04,simple,Réponse A,,,,,,,,,,,,
S04,simple,Réponse B,,,,,,,,,,,,
S05,simple,Réponse A,,,,,,,,,,,,
S05,simple,Réponse B,,,,,,,,,,,,
S06,simple,Réponse A,,,,,,,,,,,,
S06,simple,Réponse B,,,,,,,,,,,,
S07,simple,Réponse A,,,,,,,,,,,,
S07,simple,Réponse B,,,,,,,,,,,,
S08,simple,Réponse A,,,,,,,,,,,,
S08,simple,Réponse B,,,,,,,,,,,,
S09,simple,Réponse A,,,,,,,,,,,,
S09,simple,Réponse B,,,,,,,,,,,,
S10,simple,Réponse A,,,,,,,,,,,,
S10,simple,Réponse B,,,,,,,,,,,,
C01,complexe,Réponse A,,,,,,,,,,,,
C01,complexe,Réponse B,,,,,,,,,,,,
C02,complexe,Réponse A,,,,,,,,,,,,
C02,complexe,Réponse B,,,,,,,,,,,,
C03,complexe,Réponse A,,,,,,,,,,,,
C03,complexe,Réponse B,,,,,,,,,,,,
C04,complexe,Réponse A,,,,,,,,,,,,
C04,complexe,Réponse B,,,,,,,,,,,,
C05,complexe,Réponse A,,,,,,,,,,,,
C05,complexe,Réponse B,,,,,,,,,,,,
C06,complexe,Réponse A,,,,,,,,,,,,
C06,complexe,Réponse B,,,,,,,,,,,,
C07,complexe,Réponse A,,,,,,,,,,,,
C07,complexe,Réponse B,,,,,,,,,,,,
C08,complexe,Réponse A,,,,,,,,,,,,
C08,complexe,Réponse B,,,,,,,,,,,,
C09,complexe,Réponse A,,,,,,,,,,,,
C09,complexe,Réponse B,,,,,,,,,,,,
C10,complexe,Réponse A,,,,,,,,,,,,
C10,complexe,Réponse B,,,,,,,,,,,,
